Cus_ID,FullName,EmailAddress,Requested_Amount,Emi_Amount,Age,Postal_Code,Applicant_State_Desc,Applicant_City_Desc,Resid_Owned_By_Desc,No_Of_Years_At_Residence,Employment_Type_Desc,Duration_Of_Current_Emp,Years_In_Current_Business,Total_Work_Experience,Car_Register,Product_Name1,Product_Line,Loan_Term,Variant_Code,Manufacturer_Desc,Employment_Type_Desc,application_creation_date,Ex_Showroom_Price,Segment,Segment_Desc,Cost_Of_Vehicle,Average_Bank_Balance,Bureau_score,IRR,insurance_Code
88,Leonard,Leonard1@gmail.com,589000,17641,54.5,10220,Bang Khen,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด14,MAHINDRA XYLO,MAHINDRA - MAHINDRA XYLO E6,48,MAHINDRA XYLO E6,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,2/26/2014,491811,MUV,MUV,491811,,758,14.4,100501
89,Horace,Horace1@gmail.com,465000,17045,33.42,10220,Bang Khen,Bnagkok,SELF,2,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด15,MARUTI SWIFT,MARUTI - SWIFTLDI,36,SWIFTLDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,2/28/2014,620159,A2,Compact,620159,,786,18.06,100501
91,Marion,Marion1@gmail.com,670000,,29.5,10220,Bang Khen,Bnagkok,PARENTS,,SALARIED,5,,5,บด16,SKODA LAURA,SKODA - SKODA LAURA AT 2.0,60,SKODA LAURA AT 2.0,SKODA,SALARIED,3/15/2014,,A5,Premium-I,812500,,703,17.1,100501
92,Philip,Philip1@gmail.com,485000,12581,41.75,10220,Bang Khen,Bnagkok,PARENTS,7,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด17,SWIFT DEZIRE VXI,MARUTI - SWIFT DEZIRE VXI,60,SWIFT DEZIRE VXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,3/19/2014,404560,A3,Mid-Size,404560,,819,18.49,100501
93,Allen,Allen1@gmail.com,172000,6030,39.08,10220,Bang Khen,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,2.4,,บด18,MARUTI ALTO,MARUTI - ALTO K 10 LXI,36,ALTO K 10 LXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,3/21/2014,207251,A2,Compact,207251,,731,15.82,100501
94,Archie,Archie1@gmail.com,769000,28000,46.42,10220,Bang Khen,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,2,,บด19,SKODA LAURA,SKODA - LAURA AMB 2.0 TDI,36,LAURA AMB 2.0 TDI,SKODA,SELF EMPLOYED NON-PROFESSIONAL,3/21/2014,833524,A5,Premium-I,833524,,791,17.66,100501
95,Stephen,Stephen1@gmail.com,425000,11000,24.5,10220,Bang Khen,Bnagkok,RENTED,4,SELF EMPLOYED NON-PROFESSIONAL,,3,,บด20,SCORPIO VLX,MAHINDRA - SCORPIO VLX,60,SCORPIO VLX,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,3/24/2014,854509,MUV,MUV,1709018,,809,26.5,100501
97,Chester,Chester1@gmail.com,740000,25993,31.33,10220,Bang Khen,Bnagkok,SELF,17,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด21,NISSAN SUNNY,NISSAN - SUNNY XL CVT AT,36,SUNNY XL CVT AT,NISSAN,SELF EMPLOYED NON-PROFESSIONAL,3/26/2014,599547,A3,Mid-Size,599547,,788,18.37,100501
98,Willis,Willis1@gmail.com,700000,,46.75,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด22,CHEVROLET CRUZE,CHEVROLET - CHEVROLET CRUZE,48,CHEVROLET CRUZE,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,3/29/2014,,A4,Executive,700000,,667,24.5,100501
100,Raymond,Raymond1@gmail.com,278000,,58.83,10220,Bang Khen,Bnagkok,SELF,,RETIRED,,,,บด23,SKODA FABIA,SKODA - FABIA AMB 1.2,36,FABIA AMB 1.2,SKODA,RETIRED,4/2/2014,,A3,Mid-Size,796096,,572,26,100501
101,Rufus,Rufus1@gmail.com,360000,,59.17,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,25,,บด24,MARUTI SWIFT,MARUTI - SWIFT VDI,36,SWIFT VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,4/11/2014,,A2,Compact,465000,,638,26.5,100501
102,Warren,Warren1@gmail.com,215000,7681,53.83,10220,Bang Khen,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด25,CHEVROLET BEAT,CHEVROLET - BEAT 1.2 LS,36,BEAT 1.2 LS,CHEVROLET INDIA LTD,SELF EMPLOYED NON-PROFESSIONAL,4/11/2014,248758,A2,Compact,248758,,801,18.38,100501
103,Jessie,Jessie1@gmail.com,350000,6935,28.75,10220,Bang Khen,Bnagkok,SELF,4,SELF EMPLOYED NON-PROFESSIONAL,,6,,บด27,HYUNDAI - ACCENT,HYUNDAI - ACCENT GLS,48,ACCENT GLS,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,4/11/2014,275540,A3,Mid-Size,275540,,709,18.89,100501
104,Milton,Milton1@gmail.com,715000,25050,54,10220,Bang Khen,Bnagkok,SELF,10,SELF EMPLOYED NON-PROFESSIONAL,,18,,บด28,VOLKSWAGEN VENTO,VOLKSWAGAN - VENTO 1.6 AT,36,VENTO 1.6 AT,VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,4/15/2014,742828,A3,Mid-Size,742828,,794,15.92,100501
105,Alex,Alex1@gmail.com,250000,8402,65.83,10220,Bang Khen,Bnagkok,SELF,30,SELF EMPLOYED NON-PROFESSIONAL,,2,,บด30,MARUTI SWIFT,MARUTI - SWIFT VDI,48,SWIFT VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,4/19/2014,351655,A2,Compact,351655,,752,18.6,100501
106,Leo,Leo1@gmail.com,175000,,29.25,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด32,ALTO LXI,MARUTI - ALTO LXI,48,ALTO LXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,4/19/2014,,A2,Compact,200000,,546,15.3,100501
107,Julius,Julius1@gmail.com,500000,16775,56.83,10220,Bang Khen,Bnagkok,SELF,30,SELF EMPLOYED NON-PROFESSIONAL,,9,,บด33,SWIFT DZIRE VDI,MARUTI - SWIFT DZIRE VDI,48,SWIFT DZIRE VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,4/21/2014,472169,A3,Mid-Size,472169,,792,18.57,100501
109,Ray,Ray1@gmail.com,350000,,47.75,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด34,HONDA JAZZ,HONDA - HONDA JAZZ 1.2,36,HONDA JAZZ 1.2,HONDA,SELF EMPLOYED NON-PROFESSIONAL,4/26/2014,,A3,Mid-Size,400000,,741,12.5,100501
110,Sidney,Sidney1@gmail.com,302000,6671,29.83,10220,Bang Khen,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,2,,บด35,,HYUNDAI - i 10 SPORTZ,36,i 10 SPORTZ,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,4/28/2014,303539,A2,Compact,303539,,-1,19.27,100501
111,Bernard,Bernard1@gmail.com,420000,16568,32.83,10220,Bang Khen,Bnagkok,PARENTS,12,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด36,MARUTI SWIFT,MARUTI - SWIFT DZIRE ZDI,36,SWIFT DZIRE ZDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,5/3/2014,565108,A3,Mid-Size,565108,,832,15.3,100501
112,Dan,Dan1@gmail.com,350000,9442,42.75,10220,Bang Khen,Bnagkok,PARENTS,3,SALARIED,2,,3,บด38,41,HYUNDAI - HYUNDAI I 10,60,HYUNDAI I 10,HYUNDAI,SALARIED,5/8/2014,303539,A2,Compact,303539,,563,18.2,100501
113,Jerry,Jerry1@gmail.com,2500000,68841,47.67,10220,Bang Khen,Bnagkok,PARENTS,40,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด39,BMW,BMW - BMW XI 20D HL,60,BMW XI 20D HL,BMW,SELF EMPLOYED NON-PROFESSIONAL,5/13/2014,2259389,A6,Premium-II,2259389,,788,17.89,100501
114,Calvin,Calvin1@gmail.com,325000,12463,26.42,10220,Bang Khen,Bnagkok,PARENTS,10,SALARIED,3,,6,บด40,SWIFT DEZIRE VXI,MARUTI - SWIFT DEZIRE VXI,36,SWIFT DEZIRE VXI,MARUTI,SALARIED,5/15/2014,425673,A3,Mid-Size,425673,,815,17.9,100501
115,Perry,Perry1@gmail.com,125000,6271,31.75,10220,Bang Khen,Bnagkok,PARENTS,10,SALARIED,4,,5,บด41,MARUTI SWIFT,MARUTI - SWIFT,24,SWIFT,MARUTI,SALARIED,5/22/2014,320157,A2,Compact,640314,,825,18.85,100501
117,Dave,Dave1@gmail.com,200000,6598,43.17,10220,Bang Khen,Bnagkok,SELF,30,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด42,SWIFT DZIRE VDI,MARUTI - SWIFT DZIRE VDI,36,SWIFT DZIRE VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,5/23/2014,464198,A3,Mid-Size,464198,,-1,18.86,100501
118,Anthony,Anthony1@gmail.com,700000,,24.42,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด43,SKODA LAURA,SKODA - SKODA LAURA,60,SKODA LAURA,SKODA,SELF EMPLOYED NON-PROFESSIONAL,5/23/2014,,A5,Premium-I,1000000,,760,23.6,100501
119,Eddie,Eddie1@gmail.com,576000,14500,36.5,10220,Bang Khen,Bnagkok,SELF,5,SALARIED,6,,6,บด44,VOLKSWAGAN POLO,VOLKSWAGAN - POLO HIGHLINE 1.2,60,POLO HIGHLINE 1.2,VOLKSWAGAN,SALARIED,5/26/2014,480255,A2,Compact,480255,,741,17.52,100501
121,Amos,Amos1@gmail.com,200000,,22.33,10220,Bang Khen,Bnagkok,PARENTS,,SELF EMPLOYED NON-PROFESSIONAL,,2,,บด45,TATA INDICA,TATA MOTORS - INDICA VISTA A TDI,36,INDICA VISTA A TDI,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,5/29/2014,,A2,Compact,305826,,769,15.6,100501
122,Dennis,Dennis1@gmail.com,2000000,50000,57.17,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด46,FORTUNER 4 WD,TOYOTA - FORTUNER 4 WD,60,FORTUNER 4 WD,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,6/5/2014,1943564,SUV,SUV,1943564,,848,22.5,100501
124,Clifford,Clifford1@gmail.com,302000,6000,30.83,10220,Bang Khen,Bnagkok,PARENTS,25,SALARIED,0.01,,0.1,บด47,MARUTI A STAR,MARUTI - ASTARLXI,48,ASTARLXI,MARUTI,SALARIED,6/19/2014,239973,A2,Compact,239973,83.58,776,18.8,100501
125,Leroy,Leroy1@gmail.com,225000,8430,31.1,10220,Bang Khen,Bnagkok,PARENTS,30,SELF EMPLOYED NON-PROFESSIONAL,,15,,บด48,TATA INDIGO,TATA MOTORS - INDIGO CS LS TCICI,30,INDIGO CS LS TCICI,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,6/19/2014,258149,A3,Mid-Size,258149,10654.33,769,19.01,100501
126,Wesley,Wesley1@gmail.com,230000,9400,45.17,10220,Bang Khen,Bnagkok,PARENTS,35,SELF EMPLOYED NON-PROFESSIONAL,,25,,บด49,TATA INDICA,TATA MOTORS - INDICA VISTA,30,INDICA VISTA,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,6/19/2014,343511,A2,Compact,343511,197839,713,18.28,100501
127,Alonzo,Alonzo1@gmail.com,900000,27200,51.58,10220,Bang Khen,Bnagkok,SELF,8,SELF EMPLOYED NON-PROFESSIONAL,,15,,บด50,HYUNDAI VERNA,HYUNDAI - VERNA CRDI SX,60,VERNA CRDI SX,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,6/20/2014,885783,A3,Mid-Size,885783,,812,19.1,100501
128,Garfield,Garfield1@gmail.com,400000,14000,30.1,10220,Bang Khen,Bnagkok,SELF,,SALARIED,5,,5,บด52,SWIFT VXI,MARUTI - SWIFT VXI,60,SWIFT VXI,MARUTI,SALARIED,6/20/2014,,A2,Compact,500000,,780,12.6,100501
129,Franklin,Franklin1@gmail.com,1000000,23000,44.9,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด53,TOYOTA INNOVA,TOYOTA - INNOVA 2.5 AQM,60,INNOVA 2.5 AQM,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,6/25/2014,,MUV,MUV,1200000,,694,15.7,100501
132,Emil,Emil1@gmail.com,350000,9000,21,10220,Bang Khen,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด54,MARUTI SX4,MARUTI - SX4VXI,35,SX4VXI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,6/28/2014,288084,A3,Mid-Size,288084,,791,18.91,100501
133,Leon,Leon1@gmail.com,400000,10158,29.12,10220,Bang Khen,Bnagkok,PARENTS,25,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด55,VOLKSWAGEN VENTO,VOLKSWAGAN - VENTO 1.6 TREND MT,60,VENTO 1.6 TREND MT,VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,7/2/2014,664866,A3,Mid-Size,664866,4994.17,-1,17.7,100501
135,Nathan,Nathan1@gmail.com,300000,11000,26.1,10220,Bang Khen,Bnagkok,RENTED,2.5,SALARIED,1,,3,บด56,MARUTI SX4,MARUTI - SX4VXI,32,SX4VXI,MARUTI,SALARIED,7/10/2014,322309,A3,Mid-Size,322309,12931.83,808,19.24,100501
137,Harold,Harold1@gmail.com,350000,10000,23.33,10220,Bang Khen,Bnagkok,PARENTS,1.5,SALARIED,2,,4,บด58,FORD FIESTA,FORD - FORD FIESTA 1.4,60,FORD FIESTA 1.4,FORD INDIA,SALARIED,7/14/2014,451212,A3,Mid-Size,451212,29572.83,-1,17.9,100501
138,Matthew,Matthew1@gmail.com,255000,9028,55.92,10220,Bang Khen,Bnagkok,SELF,15,SALARIED,32,,32,บด59,TATA INDICA,TATA MOTORS - INDICA VISTA A TDI,36,INDICA VISTA A TDI,TATA MOTORS LTD,SALARIED,7/16/2014,377020,A2,Compact,377020,,774,15.68,100501
139,Levi,Levi1@gmail.com,100000,5000,27.5,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด60,HYUNDAI VERNA,HYUNDAI - VERNA VGT SX,60,VERNA VGT SX,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,7/16/2014,,A3,Mid-Size,110000,,713,24.5,100501
140,Moses,Moses1@gmail.com,500000,26100,45.12,10220,Bang Khen,Bnagkok,SELF,7,SELF EMPLOYED NON-PROFESSIONAL,,9,,บด61,VOLKSWAGAN POLO,VOLKSWAGAN - POLO 1.2 COMFORT,36,POLO 1.2 COMFORT,VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,7/21/2014,592801,A2,Compact,592801,1827.67,620,18.62,100501
141,Everett,Everett1@gmail.com,800000,18000,36.11,10220,Bang Khen,Bnagkok,SELF,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด62,SWIFT DZIRE VDI,MARUTI - SWIFT DZIRE VDI,60,SWIFT DZIRE VDI,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,7/24/2014,,A3,Mid-Size,900000,,734,18.5,100501
142,Lester,Lester1@gmail.com,350000,9100,32.9,10220,Bang Khen,Bnagkok,PARENTS,22,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด63,TATA INDICA,TATA MOTORS - INDICA VISTA A TDI,60,INDICA VISTA A TDI,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,7/25/2014,444610,A2,Compact,444610,31263.42,539,15.4,100501
143,Winfield,Winfield1@gmail.com,423000,11000,49.1,10220,Bang Khen,Bnagkok,SELF,15,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด64,HYUNDAI VERNA,HYUNDAI VERNA FLUIDIC 1.6 VTVT SX,60,Fluidic 1.6 VTVT SX,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,8/5/2014,498755,A3,Mid-Size,498755,132564.7,759,16.7,100501
144,Adam,Adam1@gmail.com,185000,4800,52.83,10220,Bang Khen,Bnagkok,SELF,15,SALARIED,34,,34,บด65,MARUTI SUZUKI WAGON R 1.0,MARUTI SUZUKI WAGON R 1.0 LXI,60,LXi,MARUTI,SALARIED,8/12/2014,257794,A2,Compact,257794,16194.25,766,17.32,100501
145,Lloyd,Lloyd1@gmail.com,5400000,198000,48.5,10220,Bang Khen,Bnagkok,SELF,20,SELF EMPLOYED NON-PROFESSIONAL,,5,,บด66,LAND ROVER RANGE ROVER EVOQUE,LAND ROVER RANGE ROVER EVOQUE PRESTIGE SD4,36,Prestige SD4,LAND ROVER,SELF EMPLOYED NON-PROFESSIONAL,8/21/2014,5455500,A6,Premium-II,5455500,,776,18.4,100501
146,Mack,Mack1@gmail.com,334000,8700,38.67,10220,Bang Khen,Bnagkok,SELF,7,SELF EMPLOYED NON-PROFESSIONAL,,15,,บด67,TATA INDICA VISTA,TATA INDICA VISTA LS QUADRAJET BS IV,60,LS Quadrajet BS IV,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,8/28/2014,393011,A2,Compact,393011,831,-1,18.44,100501
147,Fredrick,Fredrick1@gmail.com,250000,6350,25.92,10220,Bang Khen,Bnagkok,RENTED,1,SALARIED,5,,7,บด69,MARUTI SUZUKI RITZ,MARUTI SUZUKI RITZ VDI BS-IV,60,Vdi BS-IV,MARUTI,SALARIED,9/3/2014,465036,A2,Compact,465036,9421.83,-1,18.25,100501
148,Jay,Jay1@gmail.com,300000,10750,56.75,10220,Bang Khen,Bnagkok,PARENTS,25,SALARIED,4,,14,บด70,HYUNDAI SANTRO XING,HYUNDAI SANTRO XING GLS LPG,48,GLS LPG,HYUNDAI,SALARIED,9/12/2014,297783,A2,Compact,297783,,781,24,100501
149,Jess,Jess1@gmail.com,450000,12500,31.1,10220,Bang Khen,Bnagkok,PARENTS,,SELF EMPLOYED NON-PROFESSIONAL,,,,บด72,TOYOTA INNOVA,TOYOTA INNOVA 2.5 ZX 7 STR BS-III,36,2.5 ZX 7 STR BS-III,TOYOTA,SELF EMPLOYED NON-PROFESSIONAL,9/15/2014,,MUV,MUV,525000,,792,19.5,100501
151,Melvin,Melvin1@gmail.com,299000,10512,37.25,10220,Bang Khen,Bnagkok,SELF,2,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด74,TATA INDICA VISTA,TATA INDICA VISTA LS TDI BS-III,36,LS TDI BS-III,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,9/16/2014,398550,A2,Compact,797100,,804,16.14,100501
152,Noah,Noah1@gmail.com,400000,13500,35.2,10220,Bang Khen,Bnagkok,PARENTS,10,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด76,TATA SAFARI,TATA SAFARI 4X2 EX DICOR BS-IV,36,4x2 EX DICOR BS-IV,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,9/23/2014,490509,MUV,MUV,490509,54263.42,498,19.03,100501
154,Aaron,Aaron1@gmail.com,225000,5850,31.7,10220,Bang Khen,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,2,,บด77,FORD FIGO,FORD FIGO DURATORQ DIESEL ZXI 1.4,60,Duratorq Diesel ZXI,FORD INDIA,SELF EMPLOYED NON-PROFESSIONAL,9/24/2014,425268,A2,Compact,425268,,-1,17.21,100501
155,Alvin,Alvin1@gmail.com,414000,16000,47.58,10220,Bang Khen,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด78,VOLKSWAGEN POLO,VOLKSWAGEN POLO TRENDLINE 1.2L (P),60,Trendline 1.2L (P),VOLKSWAGAN,SELF EMPLOYED NON-PROFESSIONAL,9/27/2014,511704,A2,Compact,511704,,791,19.3,100501
156,Norman,Norman1@gmail.com,400000,12500,39.12,10220,Bang Khen,Bnagkok,PARENTS,,SALARIED,10,,10,บด79,MARUTI SUZUKI SWIFT DZIRE,MARUTI SUZUKI SWIFT DZIRE VXI,60,VXI,MARUTI,SALARIED,9/27/2014,,A3,Mid-Size,400000,,564,14.4,100501
157,Gilbert,Gilbert1@gmail.com,1100000,38500,50.12,10220,Bang Khen,Bnagkok,PARENTS,5,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด80,AUDI A4,AUDI A4 1.8 TFSI MULTITRONIC,36,1.8 TFSI Multitronic,AUDI,SELF EMPLOYED NON-PROFESSIONAL,9/29/2014,2036806,A6,Premium-II,2036806,43099.25,820,16.48,100501
159,Elijah,Elijah1@gmail.com,340000,8800,36.1,10220,Bang Khen,Bnagkok,PARENTS,7,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด81,MARUTI SUZUKI ESTILO,MARUTI SUZUKI ESTILO LXI BS-IV,60,LXi BS-IV,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,10/9/2014,283566,A2,Compact,283566,,684,17.9,100501
161,Victor,Victor1@gmail.com,363000,12628,45.17,10220,Bang Khen,Bnagkok,PARENTS,30,SELF EMPLOYED NON-PROFESSIONAL,,23,,บด82,MARUTI SUZUKI ERTIGA,MARUTI SUZUKI ERTIGA VXI,36,Vxi,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,10/9/2014,580000,A3,Mid-Size,580000,,586,15.37,100501
162,Gus,Gus1@gmail.com,300000,10700,38.92,10220,Bang Khen,Bnagkok,SELF,5,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด83,TATA INDICA VISTA,TATA INDICA VISTA LS TDI BS-III,36,LS TDI BS-III,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,10/10/2014,424255,A2,Compact,424255,123721.2,791,16.77,100501
163,Nelson,Nelson1@gmail.com,190000,5600,37.1,10220,Bang Khen,Bnagkok,SELF,,SALARIED,10,,10,บด84,MARUTI SUZUKI WAGON R 1.0,MARUTI SUZUKI WAGON R 1.0 VXI,36,VXi,MARUTI,SALARIED,10/14/2014,,A2,Compact,250000,,777,18.4,100501
164,Jasper,Jasper1@gmail.com,302000,7400,28.1,10220,Bang Khen,Bnagkok,STAFF QUARTER,1,SALARIED,11,,11,บด85,MARUTI SUZUKI WAGON R 1.0,MARUTI SUZUKI WAGON R 1.0 LXI,60,LXi,MARUTI,SALARIED,10/14/2014,335147,A2,Compact,335147,8211.67,-1,17.96,100501
165,Silas,Silas1@gmail.com,352351,13500,31.08,10220,Bang Khen,Bnagkok,PARENTS,30,SELF EMPLOYED NON-PROFESSIONAL,,7,,บด86,HYUNDAI VERNA,HYUNDAI VERNA FLUIDIC 1.4 CRDI GL,34,Fluidic 1.4 CRDI GL,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,10/15/2014,352351,A3,Mid-Size,352351,,822,19.29,100501
166,Christopher,Christopher1@gmail.com,302000,6983,30.2,10220,Bang Khen,Bnagkok,PARENTS,10,SALARIED,1,,2,บด88,MARUTI SUZUKI WAGON R 1.0,MARUTI SUZUKI WAGON R 1.0 LXI CNG,60,LXi CNG,MARUTI,SALARIED,10/16/2014,356523,A2,Compact,356523,16804.75,779,11.96,100501
167,Jake,Jake1@gmail.com,250000,13000,54.3,10220,Bang Khen,Bnagkok,SELF,,SALARIED,15,,20,บด89,HYUNDAI I10,HYUNDAI I10 MAGNA 1.1 LPG,60,Magna 1.1 LPG,HYUNDAI,SALARIED,10/31/2014,,A2,Compact,300000,,772,21.7,100501
169,Mike,Mike1@gmail.com,774000,20100,42.42,10220,Bang Khen,Bnagkok,SELF,4,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด91,SKODA YETI,SKODA YETI AMBITION 2.0 TDI CR 4X4,60,2.0 TDI CR 4x4,SKODA,SELF EMPLOYED NON-PROFESSIONAL,11/4/2014,860541,SUV,SUV,860541,14265.92,617,26.5,100501
170,Percy,Percy1@gmail.com,500000,18000,28.12,10220,Bang Khen,Bnagkok,PARENTS,28,SELF EMPLOYED NON-PROFESSIONAL,,8,,บด92,MARUTI SUZUKI ERTIGA,MARUTI SUZUKI ERTIGA VDI,36,VDi,MARUTI,SELF EMPLOYED NON-PROFESSIONAL,11/6/2014,712608,A3,Mid-Size,712608,1284.17,833,17,100501
171,Adolph,Adolph1@gmail.com,200000,8500,30.83,10220,Bang Khen,Bnagkok,PARENTS,20,SELF EMPLOYED NON-PROFESSIONAL,,4,,บด93,TATA INDICA VISTA,TATA INDICA VISTA LX TDI BS-III,30,LX TDI BS-III,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,11/10/2014,281969,A2,Compact,281969,3130.75,800,18.42,100501
172,Maurice,Maurice1@gmail.com,400000,10700,42.58,10220,Bang Khen,Bnagkok,SELF,7,SELF EMPLOYED NON-PROFESSIONAL,,20,,บด94,MAHINDRA XYLO,MAHINDRA XYLO H8 ABS BS IV,36,H8 ABS BS IV,MAHINDRA,SELF EMPLOYED NON-PROFESSIONAL,11/14/2014,471619,MUV,MUV,471619,,706,18.3,100501
173,Cornelius,Cornelius1@gmail.com,475000,12800,24.42,10220,Bang Khen,Bnagkok,PARENTS,21,SELF EMPLOYED NON-PROFESSIONAL,,8,,บด95,HYUNDAI I20,HYUNDAI I20 MAGNA (O) 1.2,60,Magna (O) 1.2,HYUNDAI,SELF EMPLOYED NON-PROFESSIONAL,11/14/2014,410939,A3,Mid-Size,410939,,782,14.3,100501
174,Felix,Felix1@gmail.com,172000,7845,36.92,10220,Bang Khen,Bnagkok,PARENTS,36,SELF EMPLOYED NON-PROFESSIONAL,,10,,บด97,TATA INDICA VISTA,TATA INDICA VISTA D90 ZX+ BS IV,36,D90 ZX+ BS IV,TATA MOTORS LTD,SELF EMPLOYED NON-PROFESSIONAL,11/14/2014,310550,A2,Compact,310550,12364,831,18.24,100501
175,Reuben,Reuben1@gmail.com,150000,4900,36.7,10220,Bang Khen,Bnagkok,RENTED,6,SALARIED,1,,1,บด98,CHEVROLET SPARK,CHEVROLET SPARK LT 1.0 BS-IV OBDII,28,LT 1.0 BS-IV OBDII,CHEVROLET INDIA LTD,SALARIED,11/14/2014,129433,A2,Compact,129433,701.83,815,16.8,100501
176,Wallace,Wallace1@gmail.com,400000,10400,32.4,10220,Bang Khen,Bnagkok,RENTED,1,SALARIED,3,,5,บด100,VOLKSWAGEN POLO,VOLKSWAGEN POLO HIGHLINE1.2L (P),60,Highline1.2L (P),VOLKSWAGAN,SALARIED,11/18/2014,550504,A2,Compact,550504,8485.25,552,11.7,100501
177,Claud,Claud1@gmail.com,882000,21786,57.42,10220,Bang Khen,Bnagkok,SELF,10,SALARIED,33,,33,บด101,TOYOTA INNOVA,TOYOTA INNOVA 2013 2.5 VX 8 STR BS-III,60,2013 2.5 VX 8 STR BS,TOYOTA,SALARIED,11/18/2014,1144269,MUV,MUV,1144269,9679.75,844,19.3,100501
